ride ID,latitude,longitude,time_received,vehicle_id,distance_along_trip,inferred_direction_id,inferred_phase,inferred_route_id,inferred_trip_id,next_scheduled_stop_distance,next_scheduled_stop_id
77,40.716785,-74.014456,2014-08-01 04:22:20,5249,"2,384.97773148854",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,43.58364806792815,MTA_405056
78,40.508309,-74.226248,2014-08-01 04:22:43,4513,"24,072.1423143487",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,318.00731215464475,MTA_201192
79,40.717485,-74.013454,2014-08-01 04:22:52,5249,"2,522.50519220224",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,113.5154402802873,MTA_405065
80,40.507001,-74.232438,2014-08-01 04:23:14,4513,"24,622.7270196734",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,48.96366172000853,MTA_201193
81,40.717136,-74.012786,2014-08-01 04:23:24,5249,"2,592.96305168656",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,113.5154402802873,MTA_405065
82,40.505654,-74.237599,2014-08-01 04:23:46,4513,"25,085.9774300397",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,35.40255613354384,MTA_201195
83,40.718691,-74.012382,2014-08-01 04:23:55,5249,"2,769.90192336802",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,63.002960416692076,MTA_404864
84,40.504878,-74.241468,2014-08-01 04:24:18,4513,"25,423.8205840149",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,48.39049565466121,MTA_202605
85,40.718905,-74.010978,2014-08-01 04:24:27,5249,"2,918.64873837243",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,159.79536536803062,MTA_404863
86,40.504279,-74.244473,2014-08-01 04:24:50,4513,"25,682.4904935339",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,23.48774134222913,MTA_203390
87,40.718789,-74.010139,2014-08-01 04:24:58,5249,"2,992.70024915274",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,85.74385458772304,MTA_404863
88,40.503006,-74.250775,2014-08-01 04:25:24,4513,"26,233.8396740799",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,67.07214704892976,MTA_203483
89,40.718703,-74.008708,2014-08-01 04:25:30,5249,"3,105.95880589557",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,85.74385458772304,MTA_404863
90,40.505466,-74.252291,2014-08-01 04:25:55,4513,"26,586.2516014304",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,67.07214704892976,MTA_203483
91,40.719058,-74.008617,2014-08-01 04:26:01,5249,"3,153.12686673291",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,345.89911280717934,MTA_405366
92,40.50757,-74.252025,2014-08-01 04:26:26,4513,"26,814.5234256716",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,0,MTA_203485
93,40.72024,-74.008386,2014-08-01 04:26:33,5249,"3,286.76970577205",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,212.25627376804186,MTA_405366
94,40.508726,-74.248195,2014-08-01 04:26:57,4513,"27,187.8968186483",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,122.53755715129228,MTA_250048
95,40.723195,-74.007915,2014-08-01 04:27:04,5249,"3,617.33245724156",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,212.25627376804186,MTA_405366
96,40.5097,-74.245313,2014-08-01 04:27:29,4513,"27,446.8620438209",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,122.53755715129228,MTA_250048
97,40.726081,-74.007361,2014-08-01 04:27:36,5249,"3,944.57101130778",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,121.0714962197817,MTA_401301
98,40.512454,-74.247901,2014-08-01 04:28:01,4513,"27,833.4071032144",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,216.01047436698718,MTA_202066
99,40.72857,-74.007085,2014-08-01 04:28:07,5249,"4,218.18530725545",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,121.0714962197817,MTA_401301
100,40.513721,-74.24749,2014-08-01 04:28:32,4513,"28,038.0486052463",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,11.368972335105354,MTA_202066
101,40.729394,-74.006808,2014-08-01 04:28:39,5249,"4,313.46107290922",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,243.79658798758464,MTA_404133
102,40.514655,-74.245908,2014-08-01 04:29:04,4513,"28,216.0652009379",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,11.368972335105354,MTA_202066
103,40.7294,-74.006804,2014-08-01 04:29:11,5249,"4,313.46107290922",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,243.79658798758464,MTA_404133
104,40.516276,-74.242176,2014-08-01 04:29:35,4513,"28,583.7093006388",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,387.75484064789634,MTA_202069
105,40.730937,-74.006584,2014-08-01 04:29:43,5249,"4,486.47800631977",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,70.77965457703976,MTA_404133
106,40.519936,-74.239803,2014-08-01 04:30:07,4513,"29,073.0358120392",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,387.75484064789634,MTA_202069
107,40.733491,-74.00624,2014-08-01 04:30:14,5249,"4,771.88521920877",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,218.1002082546329,MTA_401220
108,40.523928,-74.239192,2014-08-01 04:30:38,4513,"29,571.5738815601",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,46.07261877908604,MTA_203544
109,40.735623,-74.005946,2014-08-01 04:30:46,5249,"5,009.66600278005",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,240.10301886311208,MTA_401608
110,40.735759,-74.005915,2014-08-01 04:31:17,5249,"5,025.41046303336",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,224.3585586098052,MTA_401608
111,40.736791,-74.005663,2014-08-01 04:31:49,5249,"5,143.49391493326",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,106.27510670990159,MTA_401608
112,40.738117,-74.004153,2014-08-01 04:32:20,5249,"5,355.60958202301",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,106.27510670990159,MTA_401608
113,40.739738,-74.002369,2014-08-01 04:32:52,5249,"5,586.89080655677",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,250.88132830780523,MTA_401223
114,40.741898,-74.0009,2014-08-01 04:33:24,5249,"5,859.25988645226",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,2.939174140949035,MTA_401224
115,40.743985,-73.999411,2014-08-01 04:33:55,5249,"6,121.22755128829",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,209.09827516089717,MTA_401226
116,40.744002,-73.999399,2014-08-01 04:34:27,5249,"6,124.13169399886",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,206.19413245032774,MTA_401226
117,40.745174,-73.998548,2014-08-01 04:34:59,5249,"6,272.24297223783",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,206.19413245032774,MTA_401226
118,40.746818,-73.997322,2014-08-01 04:35:31,5249,"6,481.5424368211",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,8.895094727762626,MTA_401227
119,40.747796,-73.996609,2014-08-01 04:36:03,5249,"6,607.12396821295",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,116.68643666408025,MTA_401229
120,40.747832,-73.996582,2014-08-01 04:36:35,5249,"6,610.04112912955",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,113.76927574748697,MTA_401229
